repo,test_id,framework,line,name,raw_code,value_summary,input_source_class,input_source_inferred,input_plausibility,input_plausibility_paper_label,value_visibility,input_channel,field_context,input_target_role_ast,input_target_context_ast,input_value_expression_kind_ast,input_endpoint_construction_ast,review_reason,input_evidence_basis,input_origin_kind,input_origin_evidence,external_file_path,field_path,linked_definition_file,linked_definition_line,manual_plausibility_should_be,manual_notes
immich-app/immich,14d2639638c9cb35c6345d244e1bfa29,Playwright,196,input:press:ArrowLeft,page.keyboard.press('ArrowLeft'),ArrowLeft,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
VOICEVOX/voicevox,7cea666db68bc98a4e98621b9e0d24fe,Playwright,63,input:press:Enter,"page.keyboard.press(""Enter"")",Enter,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
UI5/webcomponents,6cc38efdc4bfa314ae426a656a17c728,Cypress,450,input:realPress:F2,"cy.realPress(""F2"")",F2,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_input,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
UI5/webcomponents,08ee76abc59ba607ce723ccd19306745,Cypress,1252,"input:realPress:[""Control"", ""ArrowRight""]","cy.realPress([""Control"", ""ArrowRight""])","[""Control"", ""ArrowRight""]",literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_input,,keyboard_control_target,,array_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
Adamant-im/adamant-im,4e0fa82ad8fd3fe555cef419e5a91856,Playwright,283,input:press:Shift+Enter,textarea.press('Shift+Enter'),Shift+Enter,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,0c9f32feddc6dd83b421c93636fc6597,Cypress,1438,input:type:quantity,cy.get('.cvat-input-frame-quantity').type(quantity),quantity,variable_input,literal_input,not_observable,indeterminate_or_insufficient_evidence,opaque,ui_text_entry,cvat input frame quantity,unknown,.cvat-input-frame-quantity,identifier,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,8885ce53475aeefb26e87ab3357ff510,Cypress,846,input:type:advancedConfigurationParams.overlapSize,cy.get('#overlapSize').type(advancedConfigurationParams.overlapSize),advancedConfigurationParams.overlapSize,variable_input,literal_input,technical_or_control_input,technical_or_configuration_or_control_input,opaque,ui_text_entry,overlap Size,unknown,#overlapSize,member_expression,,ast_regex_mismatch:source_class,ast_object_literal,object_literal_member,advancedConfigurationParams = { ... },,,cvat/tests/cypress/support/const.js,23,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,0a693acfa181d1b0b55e8cb747935773,Cypress,730,input:type:`${attributes.values}{Enter}`,cy.get('.cvat-attribute-values-input').type(`${attributes.values}{Enter}`),`${attributes.values}{Enter}`,variable_input,literal_input,technical_or_control_input,technical_or_configuration_or_control_input,partially_visible,ui_text_entry,cvat attribute values input,unknown,.cvat-attribute-values-input,template_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
uber/baseweb,4581d9d7b3c534770a752858c1edf95c,Playwright,59,input:press:Backspace,page.keyboard.press('Backspace'),Backspace,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
porsche-design-system/porsche-design-system,d0b7132eeb208b440a3c55f7cf0e9d33,Playwright,1328,input:press:Tab,page.keyboard.press('Tab'),Tab,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
refactoringhq/tolaria,5674bd694e64491763e0d98609154576,Playwright,40,input:press:Enter,page.keyboard.press('Enter'),Enter,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
kawalcovid19/wargabantuwarga.com,5b9151ffcbf6e0a963d595f876a5ea59,Playwright,37,input:press:Enter,"page.getByRole(""textbox"", { name: /cari kontak/i }).press(""Enter"")",Enter,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,textbox,keyboard_control_target,textbox,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,70e76488e1edb06bb921dd4415158c7d,Cypress,839,input:type:advancedConfigurationParams.frameStep,cy.get('#frameStep').type(advancedConfigurationParams.frameStep),advancedConfigurationParams.frameStep,variable_input,literal_input,technical_or_control_input,technical_or_configuration_or_control_input,opaque,ui_text_entry,frame Step,unknown,#frameStep,member_expression,,ast_regex_mismatch:source_class,ast_object_literal,object_literal_member,advancedConfigurationParams = { ... },,,cvat/tests/cypress/support/const.js,23,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,9eaaa2c4117b1d6ae1a586ac6c437ce1,Cypress,842,input:type:advancedConfigurationParams.chunkSize,cy.get('#dataChunkSize').type(advancedConfigurationParams.chunkSize),advancedConfigurationParams.chunkSize,variable_input,literal_input,technical_or_control_input,technical_or_configuration_or_control_input,opaque,ui_text_entry,data Chunk Size,unknown,#dataChunkSize,member_expression,,ast_regex_mismatch:source_class,ast_object_literal,object_literal_member,advancedConfigurationParams = { ... },,,cvat/tests/cypress/support/const.js,23,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
ONEARMY/community-platform,2c00a1a12ed0607baec93e7969d51922,Cypress,116,input:type:website,cy.get('[data-cy=website').clear().type(website),website,variable_input,literal_input,not_observable,indeterminate_or_insufficient_evidence,opaque,ui_text_entry,[data cy=website,unknown,[data-cy=website,identifier,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
refactoringhq/tolaria,84ec43d9cc2fdaf98be95bddcf13ebfd,Playwright,67,input:press:Tab,page.keyboard.press('Tab'),Tab,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
pierrecomputer/pierre,2a3e6002c9f1bbc956f86103495eabca,Playwright,260,input:press:ArrowDown,page.keyboard.press('ArrowDown'),ArrowDown,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
mattermost/mattermost,f9a643384f782e74e67e9b1f10f1d5e1,Playwright,56,input:press:Tab,page.keyboard.press('Tab'),Tab,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
facebook/lexical,78ae8d84b75f5907392f41788ff1f1fc,Playwright,1901,input:press:Enter,page.keyboard.press('Enter'),Enter,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
facebook/lexical,32a7f3d9406a70422f86b43cd1468b0d,Playwright,179,input:press:a,page.keyboard.press('a'),a,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
ohcnetwork/care_fe,52f2b11507df1923c30aa781aa906176,Playwright,153,input:fill:updatedData.derivedFromUri!,"page
      .getByLabel(/^derived from uri$/i)
      .fill(updatedData.derivedFromUri!)",updatedData.derivedFromUri!,unknown_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,unknown,ui_text_entry,/^derived from uri$/i,endpoint_or_resource_config_field,/^derived from uri$/i,unknown,,ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
facebook/lexical,75b0ea25cc9523016b7e0e6c3c8bc2e6,Playwright,175,"input:type:html` <h1>Foo</h1> <pre>const x = ""hello world"";</pre> <p> Hello <b><i>world</i></b> </p> `","page.keyboard.type(html`
      <h1>Foo</h1>
      <pre>const x = ""hello world"";</pre>
      <p>
        Hello
        <b><i>world</i></b>
      </p>
    `)","html` <h1>Foo</h1> <pre>const x = ""hello world"";</pre> <p> Hello <b><i>world</i></b> </p> `",unknown_input,literal_input,not_observable,indeterminate_or_insufficient_evidence,unknown,ui_text_entry,,unknown,,unknown,,ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
openobserve/openobserve,3abfe743a9a4e31df21bf83e720fbf4a,Playwright,624,input:fill:log,"searchInput.fill(""log"")",log,literal_input,literal_input,domain_plausible_input,domain_plausible_input,visible,ui_text_entry,,unknown,,string_literal,,low_provenance_confidence,ast_provenance,,,tests/ui-testing/fixtures/log.json,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
cloudtogo/pageplug,126408e50a0e4ca024b19dd263edd085,Cypress,64,input:type:updatedFormData.name,"cy.get(`${fieldPrefix}-name input`)
      .clear({ force: true })
      .type(updatedFormData.name)",updatedFormData.name,variable_input,variable_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,`${fieldPrefix} name input`,domain_text_field,`${fieldPrefix}-name input`,member_expression,,needs_review_flag,ast_object_literal,object_literal_member,updatedFormData = { ... },,,app/client/cypress/e2e/Regression/ClientSide/Widgets/JSONForm/JSONForm_FormBindings_spec.js,37,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
appsmithorg/appsmith,c90ca8ea8ffc99904556eddde21e3dd5,Cypress,961,"input:type:Cypress.env(""USERNAME"")","cy.get(welcomePage.email).type(Cypress.env(""USERNAME""))","Cypress.env(""USERNAME"")",environment_input,environment_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,welcomePage.email,domain_text_field,welcomePage.email,call_expression,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
cloudtogo/pageplug,146e8e526a60ed62675f33cab4d2c4b3,Cypress,935,"input:type:Cypress.env(""PASSWORD"")","cy.get(welcomePage.verifyPassword).type(Cypress.env(""PASSWORD""))","Cypress.env(""PASSWORD"")",environment_input,environment_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,welcomePage.verifyPassword,credential_or_config_field,welcomePage.verifyPassword,call_expression,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
appsmithorg/appsmith,7d88844494920dfbf9187d1dfa1f6cfa,Cypress,961,"input:type:Cypress.env(""USERNAME"")","cy.get(welcomePage.email).type(Cypress.env(""USERNAME""))","Cypress.env(""USERNAME"")",environment_input,environment_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,welcomePage.email,domain_text_field,welcomePage.email,call_expression,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
facebook/lexical,3ea5e3cfccb350bd9cca7af481186e2a,Playwright,333,input:type:#hello,page.keyboard.type('#hello'),#hello,literal_input,literal_input,domain_plausible_input,domain_plausible_input,visible,ui_text_entry,,unknown,,string_literal,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
cloudtogo/pageplug,1de22e79db625a6d89c70c0e8a0ab543,Cypress,931,"input:type:Cypress.env(""USERNAME"")","cy.get(welcomePage.email).type(Cypress.env(""USERNAME""))","Cypress.env(""USERNAME"")",environment_input,environment_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,welcomePage.email,domain_text_field,welcomePage.email,call_expression,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
appsmithorg/appsmith,810b3e8774c87e93aedbe4b9c7e7cd36,Cypress,961,"input:type:Cypress.env(""USERNAME"")","cy.get(welcomePage.email).type(Cypress.env(""USERNAME""))","Cypress.env(""USERNAME"")",environment_input,environment_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,welcomePage.email,domain_text_field,welcomePage.email,call_expression,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
cloudtogo/pageplug,cbd5a36c250b649ed9fbee21a9bc0166,Cypress,935,"input:type:Cypress.env(""PASSWORD"")","cy.get(welcomePage.verifyPassword).type(Cypress.env(""PASSWORD""))","Cypress.env(""PASSWORD"")",environment_input,environment_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,welcomePage.verifyPassword,credential_or_config_field,welcomePage.verifyPassword,call_expression,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
appsmithorg/appsmith,6abad40214c1aa47fdd6b6c801bcdbbb,Cypress,965,"input:type:Cypress.env(""PASSWORD"")","cy.get(welcomePage.verifyPassword).type(Cypress.env(""PASSWORD""))","Cypress.env(""PASSWORD"")",environment_input,environment_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,welcomePage.verifyPassword,credential_or_config_field,welcomePage.verifyPassword,call_expression,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
surveyjs/survey-library,209f873f6576a44f13a45d5c426408b0,Playwright,98,input:type:Comment for d,"page.keyboard.type(""Comment for d"")",Comment for d,literal_input,literal_input,domain_plausible_input,domain_plausible_input,visible,ui_text_entry,,unknown,,string_literal,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
cloudtogo/pageplug,2d6e4634266e0de5ecee55210c082269,Cypress,931,"input:type:Cypress.env(""USERNAME"")","cy.get(welcomePage.email).type(Cypress.env(""USERNAME""))","Cypress.env(""USERNAME"")",environment_input,environment_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,welcomePage.email,domain_text_field,welcomePage.email,call_expression,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
mattermost/mattermost,d58939e147c83768b4d36432ac2d7509,Cypress,75,input:type:in:town-square,cy.uiGetSearchBox().clear().type('in:town-square'),in:town-square,literal_input,literal_input,domain_plausible_input,domain_plausible_input,visible,ui_text_entry,,unknown,,string_literal,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
appsmithorg/appsmith,3a4112c4fafa070c8b4ab23d41c6252f,Cypress,965,"input:type:Cypress.env(""PASSWORD"")","cy.get(welcomePage.verifyPassword).type(Cypress.env(""PASSWORD""))","Cypress.env(""PASSWORD"")",environment_input,environment_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,welcomePage.verifyPassword,credential_or_config_field,welcomePage.verifyPassword,call_expression,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
cloudtogo/pageplug,70cc6548e6d116a8331aa0ba8feca81b,Cypress,933,"input:type:Cypress.env(""PASSWORD"")","cy.get(welcomePage.password).type(Cypress.env(""PASSWORD""))","Cypress.env(""PASSWORD"")",environment_input,environment_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,welcomePage.password,credential_or_config_field,welcomePage.password,call_expression,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
refly-ai/refly,a77a34f1a58385e26ecc669095296784,Cypress,33,input:type:test@example.com,"cy.get('[data-cy=""email-input""]').type('test@example.com')",test@example.com,literal_input,literal_input,domain_plausible_input,domain_plausible_input,visible,ui_text_entry,"[data cy=""email input""]",domain_text_field,"[data-cy=""email-input""]",string_literal,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
cloudtogo/pageplug,348cf8451945c2719b325ece743c519e,Cypress,935,"input:type:Cypress.env(""PASSWORD"")","cy.get(welcomePage.verifyPassword).type(Cypress.env(""PASSWORD""))","Cypress.env(""PASSWORD"")",environment_input,environment_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,welcomePage.verifyPassword,credential_or_config_field,welcomePage.verifyPassword,call_expression,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
cloudtogo/pageplug,e1fb50844967313a30a9493f7b9f954d,Cypress,933,"input:type:Cypress.env(""PASSWORD"")","cy.get(welcomePage.password).type(Cypress.env(""PASSWORD""))","Cypress.env(""PASSWORD"")",environment_input,environment_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,welcomePage.password,credential_or_config_field,welcomePage.password,call_expression,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
appsmithorg/appsmith,f02bcac91ed989803dc2b4dee10a12f6,Cypress,963,"input:type:Cypress.env(""PASSWORD"")","cy.get(welcomePage.password).type(Cypress.env(""PASSWORD""))","Cypress.env(""PASSWORD"")",environment_input,environment_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,welcomePage.password,credential_or_config_field,welcomePage.password,call_expression,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
cloudtogo/pageplug,d1138a9139458732ed852621d9065840,Cypress,931,"input:type:Cypress.env(""USERNAME"")","cy.get(welcomePage.email).type(Cypress.env(""USERNAME""))","Cypress.env(""USERNAME"")",environment_input,environment_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,welcomePage.email,domain_text_field,welcomePage.email,call_expression,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
webiny/webiny-js,85466f55d228f415a5aa262313783a93,Cypress,176,input:type:newPassword,cy.findByLabelText(/your password/i).type(newPassword),newPassword,variable_input,variable_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,/your password/i,credential_or_config_field,/your password/i,identifier,,needs_review_flag,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,16686b22643de2e8ce283bdfcff05e63,Cypress,24,input:type:password,cy.get('#password').type(password),password,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,password,credential_or_config_field,#password,identifier,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,0ddd8cc0b6f4eea1bbdf7f13f67caa4f,Cypress,46,input:type:firstName,cy.get('#firstName').type(firstName),firstName,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,first Name,domain_text_field,#firstName,identifier,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
UI5/webcomponents,7da89340f474595b55342f61e16ba35a,Cypress,17,input:realType:value,"cy.get(""@colorPicker"")
		.shadow()
		.find(name)
		.realClick({ clickCount: 2 })
		// eslint-disable-next-line @typescript-eslint/no-unsafe-argument
		.realType(value)",value,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,@colorPicker,unknown,@colorPicker,identifier,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
cypress-io/cypress-realworld-app,e57b42bfd2e2564b6791c4d639c62672,Cypress,76,input:type:password,"cy.get('input[name=""password""]:visible').type(password, {
            log: false,
          })",password,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,"input[name=""password""]:visible",credential_or_config_field,"input[name=""password""]:visible",identifier,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
SonicJs-Org/sonicjs,3e9eedeb41eec615fcf6073b92b7215b,Playwright,348,input:fill:ADMIN_CREDENTIALS.password,"page.fill('[name=""password""]', ADMIN_CREDENTIALS.password)",ADMIN_CREDENTIALS.password,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,"[name=""password""]",unknown,,member_expression,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,27b9de71ecda1d45bf7f201b7b2a1b31,Cypress,49,input:type:emailAddr,cy.get('#email').type(emailAddr),emailAddr,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,email,domain_text_field,#email,identifier,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
laudspeaker/laudspeaker,0230d959471c752792a83456919c1a4c,Cypress,16,input:type:password,"cy.get(""#password"").type(password)",password,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,password,credential_or_config_field,#password,identifier,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
element-hq/element-web,d29ad576b0357da47c468b50c8e7e7da,Playwright,214,input:fill:credentials.password,"page.getByPlaceholder(""Password"").fill(credentials.password)",credentials.password,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,Password,credential_or_config_field,Password,member_expression,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
SonicJs-Org/sonicjs,2f155f9df6ea911f604e3f2620c9ba1d,Playwright,347,input:fill:ADMIN_CREDENTIALS.email,"page.fill('[name=""email""]', ADMIN_CREDENTIALS.email)",ADMIN_CREDENTIALS.email,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,"[name=""email""]",unknown,,member_expression,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
