repo,test_id,framework,line,name,raw_code,value_summary,input_source_class,input_source_inferred,input_plausibility,input_plausibility_paper_label,value_visibility,input_channel,field_context,input_target_role_ast,input_target_context_ast,input_value_expression_kind_ast,input_endpoint_construction_ast,review_reason,input_evidence_basis,input_origin_kind,input_origin_evidence,external_file_path,field_path,linked_definition_file,linked_definition_line,manual_plausibility_should_be,manual_notes
ONEARMY/community-platform,ba8fb26cfd0397115868a218790d6214,Cypress,123,input:type:updatedTitle,cy.get('[data-cy=field-title]').clear().type(updatedTitle),updatedTitle,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,[data cy=field title],domain_text_field,[data-cy=field-title],identifier,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
SonicJs-Org/sonicjs,05b8912d64df834a9c4b9a06812a17fc,Playwright,348,input:fill:ADMIN_CREDENTIALS.password,"page.fill('[name=""password""]', ADMIN_CREDENTIALS.password)",ADMIN_CREDENTIALS.password,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,"[name=""password""]",unknown,,member_expression,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
dyrector-io/dyrectorio,caeda9ac244aa6f6db5174eafac94bb1,Playwright,95,input:fill:user.toString(),"page.locator('input[placeholder=""Container default""]').fill(user.toString())",user.toString(),variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,"input[placeholder=""Container default""]",unknown,"input[placeholder=""Container default""]",call_expression,url_constructor_or_path_builder,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,c92a0beaa18ea756250a3411673f2779,Cypress,723,input:type:attributes.values,cy.get('.cvat-attribute-values-input').type(attributes.values),attributes.values,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,cvat attribute values input,unknown,.cvat-attribute-values-input,member_expression,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
SonicJs-Org/sonicjs,1522211f9c76bd5e08fe37326506b6ca,Playwright,347,input:fill:ADMIN_CREDENTIALS.email,"page.fill('[name=""email""]', ADMIN_CREDENTIALS.email)",ADMIN_CREDENTIALS.email,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,"[name=""email""]",unknown,,member_expression,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
premieroctet/next-admin,f6bec987def9133fc375639babe19392,Playwright,108,input:fill:dataTest.Post.title,"page.fill('input[id=""title""]', dataTest.Post.title)",dataTest.Post.title,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,"input[id=""title""]",unknown,,member_expression,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,86708eb4bfc7ad1f33c3e8a814561e61,Cypress,709,input:type:attributes.name,cy.get('.cvat-attribute-name-input').type(attributes.name),attributes.name,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,cvat attribute name input,domain_text_field,.cvat-attribute-name-input,member_expression,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,75de5fae38897d7554990e73ad0ccbfe,Cypress,27,input:type:attrName,"cy.get('[placeholder=""Name""]').type(attrName)",attrName,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,"[placeholder=""Name""]",domain_text_field,"[placeholder=""Name""]",identifier,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,2a0fe8bb95ec8adb65176d66c82cd442,Cypress,23,input:type:username,cy.get('#credential').type(username),username,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,credential,credential_or_config_field,#credential,identifier,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
opencollective/opencollective-frontend,b865ab6cd8035fb721477624c02a0bcc,Cypress,246,input:type:publicMessage,cy.get('textarea').type(publicMessage),publicMessage,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,textarea,unknown,textarea,identifier,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,99a6a812c6660855cff558bcfdf39107,Cypress,129,input:type:jsonAttrMutableNumber,"cy.get('#labels').type(jsonAttrMutableNumber, { parseSpecialCharSequences: false })",jsonAttrMutableNumber,variable_input,literal_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,labels,domain_text_field,#labels,identifier,,needs_review_flag;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
linode/manager,0de80e38289d90e987418b5be841f4a2,Cypress,479,input:type:valueToSelect as string,"cy
              .get(valueSelector)
              .findByPlaceholderText(valuePlaceHolder)
              .type(valueToSelect as string)",valueToSelect as string,unknown_input,variable_input,domain_plausible_input,domain_plausible_input,unknown,ui_text_entry,value Place Holder,unknown,valuePlaceHolder,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
team-mirai/marumie,e01d389640f63aece733b5e2f3c7a050,Playwright,54,input:selectOption:yearA!,yearSelect.selectOption(yearA!),yearA!,unknown_input,variable_input,domain_plausible_input,domain_plausible_input,unknown,ui_selection,,domain_selection_field,,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
ohcnetwork/care_fe,22d4a80d3e7d967c3dec383521ed4fe2,Playwright,136,input:fill:data.notes!,serviceRequestCard.getByPlaceholder(/add note/i).fill(data.notes!),data.notes!,unknown_input,variable_input,domain_plausible_input,domain_plausible_input,unknown,ui_text_entry,/add note/i,domain_text_field,/add note/i,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
cypress-io/cypress-realworld-app,8fb13c4d0d033e204c56fad3d7d8ea7a,Cypress,273,input:type:targetUser[attr] as string,"cy.getBySel(""user-list-search-input"").type(targetUser[attr] as string, { force: true })",targetUser[attr] as string,unknown_input,literal_input,domain_plausible_input,domain_plausible_input,unknown,ui_text_entry,,unknown,,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
saasykits/nextjs-sessionauth-template,82c41c5ee3e9d59e7c06a45232c161dd,Playwright,29,input:fill:code!,"page.getByLabel(""Verification Code"").fill(code!)",code!,unknown_input,literal_input,domain_plausible_input,domain_plausible_input,unknown,ui_text_entry,Verification Code,unknown,Verification Code,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
team-mirai/marumie,e01d389640f63aece733b5e2f3c7a050,Playwright,82,input:selectOption:yearB!,yearSelect.selectOption(yearB!),yearB!,unknown_input,variable_input,domain_plausible_input,domain_plausible_input,unknown,ui_selection,,domain_selection_field,,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
linode/manager,1a1ed1eefc7e4faf1a6c9f0ed63f4e02,Cypress,170,input:type:mockSubnetToDelete.ipv4!,cy.focused().type(mockSubnetToDelete.ipv4!),mockSubnetToDelete.ipv4!,unknown_input,variable_input,domain_plausible_input,domain_plausible_input,unknown,ui_text_entry,,unknown,,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
ohcnetwork/care_fe,63bf6c0e7e55c4138a35bd1c5667794a,Playwright,136,input:fill:data.notes!,serviceRequestCard.getByPlaceholder(/add note/i).fill(data.notes!),data.notes!,unknown_input,variable_input,domain_plausible_input,domain_plausible_input,unknown,ui_text_entry,/add note/i,domain_text_field,/add note/i,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
mattermost/mattermost,a716878391d84abbc91db47dc2017124,Cypress,62,input:type:bot.display_name!,"cy.get('#searchInput', {timeout: TIMEOUTS.ONE_MIN}).type(bot.display_name!)",bot.display_name!,unknown_input,literal_input,domain_plausible_input,domain_plausible_input,unknown,ui_text_entry,search Input,domain_text_field,#searchInput,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
linode/manager,cde6ded40f63eccc938da45fa8a6d41f,Cypress,339,input:type:valueToSelect as string,"cy
              .get(valueSelector)
              .findByPlaceholderText(valuePlaceHolder)
              .type(valueToSelect as string)",valueToSelect as string,unknown_input,variable_input,domain_plausible_input,domain_plausible_input,unknown,ui_text_entry,value Place Holder,unknown,valuePlaceHolder,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
team-mirai/marumie,e01d389640f63aece733b5e2f3c7a050,Playwright,65,input:selectOption:yearB!,yearSelect.selectOption(yearB!),yearB!,unknown_input,variable_input,domain_plausible_input,domain_plausible_input,unknown,ui_selection,,domain_selection_field,,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
linode/manager,1a1ed1eefc7e4faf1a6c9f0ed63f4e02,Cypress,154,input:type:mockSubnets[0].ipv4!,cy.focused().type(mockSubnets[0].ipv4!),mockSubnets[0].ipv4!,unknown_input,variable_input,domain_plausible_input,domain_plausible_input,unknown,ui_text_entry,,unknown,,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
mattermost/mattermost,ca1fbc611a9fc16c7581b2d484b8466a,Cypress,188,input:type:bot.display_name!,"cy.get('#searchInput', {timeout: TIMEOUTS.ONE_MIN}).type(bot.display_name!)",bot.display_name!,unknown_input,literal_input,domain_plausible_input,domain_plausible_input,unknown,ui_text_entry,search Input,domain_text_field,#searchInput,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
linode/manager,0de80e38289d90e987418b5be841f4a2,Cypress,634,input:type:valueToSelect as string,"cy
              .get(valueSelector)
              .findByPlaceholderText(valuePlaceHolder)
              .type(valueToSelect as string)",valueToSelect as string,unknown_input,variable_input,domain_plausible_input,domain_plausible_input,unknown,ui_text_entry,value Place Holder,unknown,valuePlaceHolder,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
ohcnetwork/care_fe,63bf6c0e7e55c4138a35bd1c5667794a,Playwright,114,input:fill:data.patientInstruction!,"serviceRequestCard
      .getByPlaceholder(/enter patient instruction/i)
      .fill(data.patientInstruction!)",data.patientInstruction!,unknown_input,variable_input,domain_plausible_input,domain_plausible_input,unknown,ui_text_entry,/enter patient instruction/i,unknown,/enter patient instruction/i,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
team-mirai/marumie,e01d389640f63aece733b5e2f3c7a050,Playwright,77,input:selectOption:yearA!,yearSelect.selectOption(yearA!),yearA!,unknown_input,variable_input,domain_plausible_input,domain_plausible_input,unknown,ui_selection,,domain_selection_field,,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
pretzelai/pretzelai,764b76db66631a776f33952bf3be526b,Playwright,138,input:selectOption:await option.textContent(),select.selectOption(await option.textContent()),await option.textContent(),unknown_input,variable_input,domain_plausible_input,domain_plausible_input,unknown,ui_selection,,domain_selection_field,,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
ohcnetwork/care_fe,22d4a80d3e7d967c3dec383521ed4fe2,Playwright,114,input:fill:data.patientInstruction!,"serviceRequestCard
      .getByPlaceholder(/enter patient instruction/i)
      .fill(data.patientInstruction!)",data.patientInstruction!,unknown_input,variable_input,domain_plausible_input,domain_plausible_input,unknown,ui_text_entry,/enter patient instruction/i,unknown,/enter patient instruction/i,unknown,,needs_review_flag;ast_regex_mismatch:source_class;low_confidence;low_source_confidence,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
mattermost/mattermost,083cf9d15f6fc5a41076f5ba0928d97c,Cypress,45,input:type:4444,cy.get('#input_postalCode').clear().type('4444'),4444,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,postal Code,unknown,#input_postalCode,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
facebook/lexical,48c9a92ba2fa1967400fd965d2d4800a,Playwright,227,input:type::),page.keyboard.type(' :)'),:),literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,,unknown,,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
invoicerr-app/invoicerr,1788f3dae3b6f1b886c455b4d1018470,Cypress,98,input:type:12345,"cy.get('[name=""postalCode""]').clear().type('12345')",12345,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,"[name=""postalCode""]",domain_text_field,"[name=""postalCode""]",string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
taiga-family/maskito,a6c594ed641f3374c8615865254c0d8f,Cypress,255,input:type:101220051230,"cy.get('@input')
                        .type('101220051230')",101220051230,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,@input,unknown,@input,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
UI5/webcomponents,be5c5a0de696491ac522c4151580b900,Cypress,2609,input:realType:a,"cy.get(""#field"").shadow().find(""input"").click().realType(""a"")",a,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,#field,unknown,#field,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
mattermost/mattermost,93ea52ff40240cfac48a3bba07ba6b16,Cypress,34,input:type:k,cy.typeCmdOrCtrl().type('k'),k,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,,unknown,,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
cypress-io/cypress-realworld-app,c67a3a8d55fc4a532451985322a42cc2,Cypress,59,input:type:123456789,"cy.getBySelLike(""accountNumber-input"").type(""123456789"")",123456789,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,,unknown,,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
taiga-family/maskito,f707f99739d19e71a7d2d5314a436a2f,Cypress,88,input:type:01121998,"cy.get('input')
                        .type('01121998')",01121998,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,input,unknown,input,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
taiga-family/maskito,0056232b669d8fdf1c46b55501e29b9b,Cypress,130,input:type:F,"cy.get('@input')
                .type('123')
                .type('{moveToStart}{rightArrow}')
                .type('F')",F,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,@input,unknown,@input,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
UI5/webcomponents,1679f2774497bcd90b2f85f8a0e64bdd,Cypress,264,input:realType:l,"cy.get(""[ui5-search]"")
			.realClick()
			.realType(""l"")",l,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,[ui5 search],domain_text_field,[ui5-search],string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
mattermost/mattermost,b4914b5710a663e5be6c5b42293cf343,Cypress,34,input:type:k,cy.typeCmdOrCtrl().type('k'),k,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,,unknown,,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
taiga-family/maskito,c4082fce327fed8c4088f30e2104aa31,Cypress,50,input:type:121220204,"cy.get('@input')
                .type('121220204')",121220204,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,@input,unknown,@input,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
facebook/lexical,55e54339642bd60cbe48b887f3b0c139,Playwright,2499,input:type:b,page.keyboard.type('b'),b,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,,unknown,,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
mattermost/mattermost,7adbc5a71c91b0891efeaed010faf8fc,Cypress,97,input:type:s,cy.get('body').type('{uparrow}{uparrow}').type('s'),s,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,body,unknown,body,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
refactoringhq/tolaria,c920948459166b38ca715220679ab15d,Playwright,54,input:type:a,page.keyboard.type('a'),a,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,,unknown,,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
mattermost/mattermost,57f484c549dce4cbc5a99946d0cda565,Cypress,42,input:type:k,cy.typeCmdOrCtrl().type('k'),k,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,,unknown,,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
taiga-family/maskito,73300cb17c46e1d381861567aff3bee1,Cypress,81,input:type:10112002,cy.get('@input').type('10112002'),10112002,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,@input,unknown,@input,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
UI5/webcomponents,c3c584661d6d33779d338b7bf0215a27,Cypress,1241,input:realType:A,"cy.get(""@input"").realType(""A"")",A,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,@input,unknown,@input,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
UI5/webcomponents,c09c283035791231364690535a8f54d2,Cypress,3659,input:realType:a,"cy.get(""@input"").realType(""a"")",a,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,@input,unknown,@input,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
ionic-team/ionic-framework,e50729a5730ffc7c939853bfd00561f8,Playwright,157,input:fill:A,page.locator('#touched-input-otp-text-test input').nth(0).fill('A'),A,literal_input,literal_input,unclear,indeterminate_or_insufficient_evidence,visible,ui_text_entry,touched input otp text test input,unknown,#touched-input-otp-text-test input,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,0ecc3fd575f685badf0cb9f33e886259,Cypress,54,"input:realPress:['ControlLeft', 'a']","cy.get('.cvat-raw-labels-viewer').realPress(['ControlLeft', 'a'])","['ControlLeft', 'a']",literal_input,variable_input,unclear,indeterminate_or_insufficient_evidence,visible,keyboard_input,cvat raw labels viewer,domain_text_field,.cvat-raw-labels-viewer,array_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
UI5/webcomponents,83440657b65a8114f7918a629b3d88dc,Cypress,1732,input:realPress:I,"cy.get(""[ui5-search]"")
			.realPress(""I"")",I,literal_input,variable_input,unclear,indeterminate_or_insufficient_evidence,visible,keyboard_input,[ui5 search],domain_text_field,[ui5-search],string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
UI5/webcomponents,33816490474404d2e9dacc9c8b86114f,Cypress,1400,input:realPress:s,"cy.get(""[ui5-search]"")
			.realPress(""s"")",s,literal_input,variable_input,unclear,indeterminate_or_insufficient_evidence,visible,keyboard_input,[ui5 search],domain_text_field,[ui5-search],string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
UI5/webcomponents,00501e1304c08e3258a147d2d7099dca,Cypress,317,input:realPress:c,"cy.get(""@searchfield"")
				.realPress(""a"")
				.realPress(""b"")
				.realPress(""c"")",c,literal_input,variable_input,unclear,indeterminate_or_insufficient_evidence,visible,keyboard_input,@searchfield,domain_text_field,@searchfield,string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
UI5/webcomponents,9127b4d384637a37eaa987cb88938302,Cypress,2027,input:realPress:I,"cy.get(""[ui5-search]"")
			.shadow()
			.find(""input"")
			.realPress(""I"")",I,literal_input,variable_input,unclear,indeterminate_or_insufficient_evidence,visible,keyboard_input,[ui5 search],domain_text_field,[ui5-search],string_literal,,needs_review_flag;low_plausibility_confidence;visible_unclear;ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
