sample_origin,repo,test_id,framework,line,name,raw_code,verification_intent,verification_intent_final,verification_intent_evidence_basis,verification_intent_matched_signal,assertion_matcher,assertion_semantic_matcher_ast,assertion_subject_kind,assertion_subject_root_ast,assertion_subject_path_json,assertion_subject_text_ast,assertion_subject_semantic_role_ast,assertion_callback_intent_hint_ast,assertion_framework_context,assertion_library_syntax,manual_intent_ok,manual_intent_should_be,manual_notes
,webiny/webiny-js,e6f21c04181b8d958a545ac9da5cc8f5,Cypress,89,assert.isTrue,assert.isTrue(data),unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,webiny/webiny-js,cbcdb2390c995e17e8923674ed4b877b,Cypress,47,assert.isTrue,assert.isTrue(data),unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,tagspaces/tagspaces,fa9e1b947ba9e04e40835d81ba2e0da4,Playwright,374,expect(videoLocator).toBeSeekableMediaElement,"expect(videoLocator).toBeSeekableMediaElement(6.9, 7)",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,FuelLabs/fuels-wallet,fd65aea179c8cc3c0f259d66c6f3f906,Playwright,822,expect(transferStatus).rejects.toThrowError,"expect(transferStatus).rejects.toThrowError(
          'address is not authorized for this connection.'
        )",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,tagspaces/tagspaces,ea628df284dbab64f1ffae52c1362d0a,Playwright,374,expect(videoLocator).toBeSeekableMediaElement,"expect(videoLocator).toBeSeekableMediaElement(6.9, 7)",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,tagspaces/tagspaces,8ef96d737638f3d54ad1e400fe2ef5e9,Playwright,374,expect(videoLocator).toBeSeekableMediaElement,"expect(videoLocator).toBeSeekableMediaElement(6.9, 7)",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,tagspaces/tagspaces,9d6cb99096223fc68d0c96f1c287e004,Playwright,374,expect(videoLocator).toBeSeekableMediaElement,"expect(videoLocator).toBeSeekableMediaElement(6.9, 7)",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,FuelLabs/fuels-wallet,fd65aea179c8cc3c0f259d66c6f3f906,Playwright,667,expect(signedMessagePromise).rejects.toThrowError,"expect(signedMessagePromise).rejects.toThrowError(
          'address is not authorized for this connection.'
        )",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,ChromeDevTools/devtools-frontend,40032e7e43432881b975452d64d5e85a,Puppeteer,134,assert.deepInclude,"assert.deepInclude(events, {action: 'performSearch', queryString: 'abc'})",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,ChromeDevTools/devtools-frontend,40032e7e43432881b975452d64d5e85a,Puppeteer,136,assert.deepInclude,"assert.deepInclude(events, {action: 'previousSearchResult'})",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,ChromeDevTools/devtools-frontend,40032e7e43432881b975452d64d5e85a,Puppeteer,135,assert.deepInclude,"assert.deepInclude(events, {action: 'nextSearchResult'})",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,ChromeDevTools/devtools-frontend,130cbd67ac14fb92764500d77f037560,Puppeteer,41,assert.deepEqual,"assert.deepEqual(callbackArgs, '[{""onShown"":{},""onHidden"":{},""onSearch"":{}}]')",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,AudiusProject/apps,c25497d2afc717de76d6906aa7260b61,Playwright,37,"expect(socialActions.unrepostButton, 'Check for unrepost (ok if fails)')
    .toBeVisible()
    .catch","expect(socialActions.unrepostButton, 'Check for unrepost (ok if fails)')
    .toBeVisible()
    .catch(() => {})",element_presence,element_presence,lexical_oracle_category_fallback,visibility_oracle,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,OHIF/Viewers,e5611f497dd6755b16a7b673004a3844,Playwright,97,expect(await rightPanelPageObject.measurementsPanel.panel.getMeasurementCount()).toBeGreaterThan,"expect(await rightPanelPageObject.measurementsPanel.panel.getMeasurementCount()).toBeGreaterThan(
    0
  )",collection_size,collection_size,ast_assertion_matcher,matcher:toBeGreaterThan,toBeGreaterThan,,unknown,,[],await rightPanelPageObject.measurementsPanel.panel.getMeasurementCount(),,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,JetBrains/kotlin-web-site,24f85adb2c31300dd931ba1affd1a1b2,Playwright,113,expect(newPage.url()).toContain,expect(newPage.url()).toContain('https://www.jetbrains.com/'),navigation_outcome,navigation_outcome,ast_assertion_subject,subject:page;basis:ast_page_call;matcher:tocontain,toContain,,page,newPage,"[""newPage"",""url""]",newPage.url(),scalar_property,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,mattermost/mattermost,632a6644ade9310507d5e71359195d4f,Cypress,56,"expect(hasLicenseKey, hasLicenseKeyMessage).to.equal","expect(hasLicenseKey, hasLicenseKeyMessage).to.equal(true)",value_or_attribute_correctness,value_or_attribute_correctness,ast_assertion_subject_semantic_role,subject_semantic_role:scalar_property,equal,,unknown,expect,"[""expect"",""to"",""equal""]","expect(hasLicenseKey, hasLicenseKeyMessage).to.equal(true)",scalar_property,,cypress,jest,correct,n/a,Verification intent label is acceptable.
,payloadcms/payload,9da029f95c02d128feeff054c42aaab6,Playwright,308,expect(async () => await expect(localeButton).toBeEnabled()).toPass,"expect(async () => await expect(localeButton).toBeEnabled()).toPass({
      timeout: POLL_TOPASS_TIMEOUT,
    })",interactive_state,interactive_state,ast_assertion_matcher,matcher:toPass,toPass,,unknown,,[],async () => await expect(localeButton).toBeEnabled(),,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,ionic-team/ionic-framework,53cd9d5f3ead5ac604f7e42e59327b37,Playwright,20,expect(page.url()).toContain,expect(page.url()).toContain('#/child/1'),navigation_outcome,navigation_outcome,ast_assertion_subject,subject:page;basis:ast_page_call;matcher:tocontain,toContain,,page,page,"[""page"",""url""]",page.url(),api_object_contract,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,ionic-team/ionic-framework,208c5f84d4a1879fafde81655d1d03c2,Playwright,235,expect(container).toHaveScreenshot,expect(container).toHaveScreenshot(screenshot(`select-solid-focus`)),visual_regression,visual_regression,ast_assertion_subject_semantic_role,subject_semantic_role:visual_snapshot_api,toHaveScreenshot,,unknown,container,"[""container""]",container,visual_snapshot_api,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,porsche-design-system/porsche-design-system,37974db71c9272176c1dca55dc29e5c4,Playwright,367,expect(await getMaskImage(input)).toBe,expect(await getMaskImage(input)).toBe('none'),style_or_visual_state,style_or_visual_state,ast_assertion_matcher,matcher:toBe,toBe,,unknown,,[],await getMaskImage(input),,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,documenso/documenso,c69062c051b9f17123393deebfa81cd1,Playwright,247,expect(page1!.count).toBe,expect(page1!.count).toBe(5),collection_size,collection_size,lexical_collection_context,count_property_context,toBe,,unknown,count,"[""count""]",page1!.count,collection_size,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,SonicJs-Org/sonicjs,3c570a4626c2984666e913f329eeb36f,Playwright,99,expect(status).toBe,expect(status).toBe(200),network_contract,network_contract,lexical_api_status_context,matcher:tobe;bare_status_http_code_context,toBe,,unknown,status,"[""status""]",status,scalar_property,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,actualbudget/actual,5f2bda86a73ac16f37917613f8b057e5,Playwright,117,expect(page).toMatchThemeScreenshots,expect(page).toMatchThemeScreenshots(),visual_regression,visual_regression,lexical_oracle_category_fallback,visual_snapshot_oracle,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,porsche-design-system/porsche-design-system,e22bc57be8668d9b7afeaa76f55ca31f,Playwright,335,expect(textField).toHaveJSProperty,"expect(textField).toHaveJSProperty('value', '1')",value_or_attribute_correctness,value_or_attribute_correctness,ast_assertion_subject_semantic_role,subject_semantic_role:scalar_property,toHaveJSProperty,,unknown,textField,"[""textField""]",textField,scalar_property,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,appsmithorg/appsmith,2d613007b9a68e487cee22f2580e25fa,Cypress,217,expect(loc.href).to.eq,expect(loc.href).to.eq(loc.origin + redirectUrl),navigation_outcome,navigation_outcome,lexical_navigation_context,location_or_url_subject_context,eq,,unknown,expect,"[""expect"",""to"",""eq""]",expect(loc.href).to.eq(loc.origin + redirectUrl),scalar_property,,cypress,jest,correct,n/a,Verification intent label is acceptable.
,facebook/lexical,2597464489ecee8f3985cf0a9c28bc53,Playwright,130,expect(await hasSelection('.image-caption-container')).toBe,expect(await hasSelection('.image-caption-container')).toBe(false),content_correctness,content_correctness,lexical_oracle_category_fallback,text_content_oracle,toBe,,unknown,,[],await hasSelection('.image-caption-container'),,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,vercel-labs/wterm,49d56bbf048ef63e2d6b94636245ac97,Playwright,111,expect(await scrollbackRows.count()).toBeGreaterThan,expect(await scrollbackRows.count()).toBeGreaterThan(0),collection_size,collection_size,lexical_collection_context,count_property_context,toBeGreaterThan,,unknown,,[],await scrollbackRows.count(),collection_size,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,linode/manager,0de80e38289d90e987418b5be841f4a2,Cypress,662,"expect(interception)
        .to.have.property","expect(interception)
        .to.have.property('response')",network_contract,network_contract,ast_assertion_matcher,matcher:property;value_attribute_current_matcher,property,,unknown,expect,"[""expect"",""to"",""have"",""property""]","expect(interception)
        .to.have.property('response')",scalar_property,,cypress,jest,correct,n/a,Verification intent label is acceptable.
,microsoft/fast,3f34ab97483d3e00792964e16af9f72c,Playwright,396,"expect(
                await element.evaluate(node => {
                    return (window as any).Observable.getAccessors(node).filter(
                        (accessor: any) => accessor.name ==","expect(
                await element.evaluate(node => {
                    return (window as any).Observable.getAccessors(node).filter(
                        (accessor: any) => accessor.name === ""attribute"",
                    );
                }),
            ).toEqual([
                {
                    Owner: undefined,
                    attribute: ""some-attribute"",
      ...",collection_size,collection_size,lexical_collection_filter_context,matcher:toequal;filtered_collection,toEqual,,unknown,,[],"await element.evaluate(node => {
                    return (window as any).Observable.getAccessors(node).filter(
                        (accessor: any) => accessor.name === ""attribute"",
                    );
                })",,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,CopilotKit/CopilotKit,f57b1bf70f79281d4c8c5b2413f36c6e,Playwright,9,"expect(page.locator("".chat-css-demo-scope"").first()).toBeVisible","expect(page.locator("".chat-css-demo-scope"").first()).toBeVisible()",element_presence,element_presence,lexical_style_context,style_or_class_subject_context,toBeVisible,,locator,page,"[""page"",""locator"",""first""]","page.locator("".chat-css-demo-scope"").first()",element_presence,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,opencollective/opencollective-frontend,99c3d9ceab27202e9931a99bbc31fb37,Cypress,70,expect(result).to.have.property,expect(result).to.have.property('messages'),value_or_attribute_correctness,value_or_attribute_correctness,ast_assertion_matcher,matcher:property;value_attribute_current_matcher,property,,unknown,expect,"[""expect"",""to"",""have"",""property""]",expect(result).to.have.property('messages'),api_object_contract,,cypress,jest,incorrect,api_or_data_contract,"Object/property contract assertion, not scalar value."
,mattermost/mattermost,ce6fbaf3a0c9aff51f65f9b0e55e8d4a,Cypress,68,"expect(data.isLicensed, hasLicenseMessage).to.equal","expect(data.isLicensed, hasLicenseMessage).to.equal(true)",value_or_attribute_correctness,value_or_attribute_correctness,ast_assertion_subject_path,subject_path:expect.to.equal;matcher:equal;payload_scalar,equal,,unknown,expect,"[""expect"",""to"",""equal""]","expect(data.isLicensed, hasLicenseMessage).to.equal(true)",scalar_property,,cypress,jest,correct,n/a,Verification intent label is acceptable.
,openobserve/openobserve,5d5a555a12d97a8def07f079900da57f,Playwright,600,expect(status).toBe,expect(status).toBe(401),network_contract,network_contract,lexical_api_status_context,matcher:tobe;bare_status_http_code_context,toBe,,unknown,status,"[""status""]",status,scalar_property,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,freeCodeCamp/freeCodeCamp,3b2ab1cc84b2bc5eb7b4ba12a9630203,Puppeteer,216,expect(idVerificationMessage).toBeNull,expect(idVerificationMessage).toBeNull(),element_presence,element_presence,ast_assertion_subject_semantic_role,subject_semantic_role:scalar_property,toBeNull,,unknown,idVerificationMessage,"[""idVerificationMessage""]",idVerificationMessage,scalar_property,,unknown,playwright,correct,n/a,Verification intent label is acceptable.
,qwikifiers/qwik-ui,0a894d2c92f3dfd4e80c7f988c5a2b2b,Playwright,85,expect(d.getRoot()).toHaveAttribute,"expect(d.getRoot()).toHaveAttribute('aria-valuetext', '30%')",accessibility_compliance,accessibility_compliance,lexical_accessibility_context,matcher:tohaveattribute;accessibility_context,toHaveAttribute,,unknown,d,"[""d"",""getRoot""]",d.getRoot(),scalar_property,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,WebThingsIO/gateway,fc8988c2b33fc68aca489894ca2a67c2,WebDriverIO,52,expect(await addon5.hasDisableButton()).toBeTruthy,expect(await addon5.hasDisableButton()).toBeTruthy(),interactive_state,interactive_state,ast_assertion_matcher,matcher:toBeTruthy,toBeTruthy,,unknown,,[],await addon5.hasDisableButton(),,,webdriverio,playwright,correct,n/a,Verification intent label is acceptable.
,linode/manager,cde6ded40f63eccc938da45fa8a6d41f,Cypress,373,"expect(interception)
        .to.have.property","expect(interception)
        .to.have.property('response')",network_contract,network_contract,ast_assertion_matcher,matcher:property;value_attribute_current_matcher,property,,unknown,expect,"[""expect"",""to"",""have"",""property""]","expect(interception)
        .to.have.property('response')",scalar_property,,cypress,jest,correct,n/a,Verification intent label is acceptable.
,SonicJs-Org/sonicjs,727adeb32c82c7c125320ed3e94d073c,Playwright,250,expect(Array.isArray(data.data.trends)).toBe,expect(Array.isArray(data.data.trends)).toBe(true),api_or_data_contract,api_or_data_contract,ast_assertion_subject_path,subject_path:Array.isArray;matcher:tobe;type_or_shape_contract,toBe,,unknown,Array,"[""Array"",""isArray""]",Array.isArray(data.data.trends),scalar_property,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,ionic-team/ionic-framework,cb9e1197b911665e77ec80c2ce02aa6a,Playwright,16,expect(page.locator('app-router-link')).toHaveAttribute,"expect(page.locator('app-router-link')).toHaveAttribute('class', 'ion-page ion-page-hidden')",style_or_visual_state,style_or_visual_state,lexical_navigation_context,matcher:tohaveattribute;href_or_url_attribute,toHaveAttribute,,locator,page,"[""page"",""locator""]",page.locator('app-router-link'),style_layout_property,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,WebThingsIO/gateway,fc8988c2b33fc68aca489894ca2a67c2,WebDriverIO,26,expect(addon1).toBeNull,expect(addon1).toBeNull(),element_presence,element_presence,ast_assertion_subject_semantic_role,subject_semantic_role:scalar_property,toBeNull,,unknown,addon1,"[""addon1""]",addon1,scalar_property,,webdriverio,playwright,correct,n/a,Verification intent label is acceptable.
,openobserve/openobserve,349f5406293108e1666605c5991db548,Playwright,164,"expect(['training', 'ready', 'failed', 'active', 'paused', 'unknown']).toContain","expect(['training', 'ready', 'failed', 'active', 'paused', 'unknown']).toContain(status)",value_or_attribute_correctness,value_or_attribute_correctness,lexical_scalar_property_context,subject_path:enum;matcher:tocontain;enum_membership,toContain,,unknown,,[],"['training', 'ready', 'failed', 'active', 'paused', 'unknown']",,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,porsche-design-system/porsche-design-system,d5bc01cef12290a94b2d4f06530e8e51,Playwright,42,expect(await getCounterValue(tabsBarUpdateEventCounter)).toBe,expect(await getCounterValue(tabsBarUpdateEventCounter)).toBe('2'),interactive_state,interactive_state,lexical_oracle_category_fallback,count_or_length_oracle,toBe,,unknown,,[],await getCounterValue(tabsBarUpdateEventCounter),,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,cloudtogo/pageplug,4d6cc4d0e4368fdef6260a27cfc54a02,Cypress,110,"cy.wait(""@post_Execute"").should","cy.wait(""@post_Execute"").should(
        ""have.nested.property"",
        ""response.body.responseMeta.status"",
        200,
      )",network_contract,network_contract,lexical_network_payload_context,matcher:havenestedproperty;network_payload_context,should,have.nested.property,unknown,cy,"[""cy"",""wait"",""should""]","cy.wait(""@post_Execute"").should(
        ""have.nested.property"",
        ""response.body.responseMeta.status"",
        200,
      )",network_status,,cypress,cypress,correct,n/a,Verification intent label is acceptable.
,UI5/webcomponents,3515becd747f3c4a70d48389056bff55,Cypress,173,"cy.get(""@headerRow"").shadow().find(""#selection-cell"")
				.should","cy.get(""@headerRow"").shadow().find(""#selection-cell"")
				.should(testConfigEntry.cases.BOXES.header.exists ? ""exist"" : ""not.exist"")",element_presence,element_presence,lexical_presence_context,element_presence_subject_context,should,,locator,cy,"[""cy"",""get"",""shadow"",""find"",""should""]","cy.get(""@headerRow"").shadow().find(""#selection-cell"")
				.should(testConfigEntry.cases.BOXES.header.exists ? ""exist"" : ""not.exist"")",scalar_property,,cypress,cypress,correct,n/a,Verification intent label is acceptable.
,pwa-builder/PWABuilder,75569e7852e1021eb76fa6f729dc39c7,Playwright,79,expect(page.url()).toContain,expect(page.url()).toContain('/reportcard'),navigation_outcome,navigation_outcome,ast_assertion_subject,subject:page;basis:ast_page_call;matcher:tocontain,toContain,,page,page,"[""page"",""url""]",page.url(),api_object_contract,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,mattermost/mattermost,28fa2a74e8decbfc731eb740c76ba059,Cypress,158,expect(response.status).to.be.oneOf,"expect(response.status).to.be.oneOf([200, 201, 204])",network_contract,network_contract,lexical_network_payload_context,matcher:;network_payload_context,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,CopilotKit/CopilotKit,3649d526a502264c80935b4957d467bc,Playwright,107,"expect(card.locator('[data-testid=""stock-change""]')).toContainText","expect(card.locator('[data-testid=""stock-change""]')).toContainText(
      ""-2.96%"",
      { timeout: TOOL_TIMEOUT },
    )",content_correctness,content_correctness,ast_assertion_matcher,matcher:tocontaintext;current_text_matcher,toContainText,,locator,card,"[""card"",""locator""]","card.locator('[data-testid=""stock-change""]')",ui_event_counter,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,ionic-team/ionic-framework,0899b120591d5b71343b68a519e3939a,Playwright,30,expect(toastWrapper).toHaveScreenshot,expect(toastWrapper).toHaveScreenshot(screenshot(`toast-stacked-long-message`)),visual_regression,visual_regression,lexical_text_property_context,matcher:tohavescreenshot;message_text_context,toHaveScreenshot,,unknown,toastWrapper,"[""toastWrapper""]",toastWrapper,visual_snapshot_api,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,WebThingsIO/gateway,6023203603fe9273f616d54cdbc1481c,WebDriverIO,1088,expect(thingTitle).toEqual,expect(thingTitle).toEqual(desc.title),content_correctness,content_correctness,ast_assertion_subject_semantic_role,subject_semantic_role:text_content_payload,toEqual,,unknown,thingTitle,"[""thingTitle""]",thingTitle,text_content_payload,,webdriverio,playwright,correct,n/a,Verification intent label is acceptable.
,springload/react-accessible-accordion,2f47a99ddc12a46a2b082a978c5d957c,Puppeteer,101,expect(await evaluateIsExpanded(firstButtonHandle)).toEqual,"expect(await evaluateIsExpanded(firstButtonHandle)).toEqual(
                    true,
                )",value_or_attribute_correctness,value_or_attribute_correctness,ast_assertion_matcher,matcher:toEqual,toEqual,,unknown,,[],await evaluateIsExpanded(firstButtonHandle),,,unknown,playwright,correct,n/a,Verification intent label is acceptable.
,springload/react-accessible-accordion,3bb2a6f2276634942acb085518313d18,Puppeteer,156,expect(firstIsFocussed).toEqual,expect(firstIsFocussed).toEqual(true),value_or_attribute_correctness,value_or_attribute_correctness,ast_assertion_subject_semantic_role,subject_semantic_role:scalar_property,toEqual,,unknown,firstIsFocussed,"[""firstIsFocussed""]",firstIsFocussed,scalar_property,,unknown,playwright,correct,n/a,Verification intent label is acceptable.
,uber/baseweb,b99d47740f30b12a2e060bb2839fc807,Playwright,21,expect(accessibilityReport).toHaveNoAccessibilityIssues,expect(accessibilityReport).toHaveNoAccessibilityIssues(),accessibility_compliance,accessibility_compliance,lexical_oracle_category_fallback,accessibility_oracle,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,tldraw/tldraw,dfecc62a0522e6c6a2d5650890938294,Playwright,52,expect(await getAllShapeTypes(page)).toEqual,expect(await getAllShapeTypes(page)).toEqual(['geo']),api_or_data_contract,api_or_data_contract,ast_assertion_subject_semantic_role,subject_semantic_role:api_object_contract,toEqual,,unknown,,[],await getAllShapeTypes(page),api_object_contract,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,UI5/webcomponents,a065e023fd497e2defe1ee21670c417e,Cypress,4573,"cy.get(""[ui5-multi-combobox]"")
			.shadow()
			.find(""[ui5-tokenizer]"")
			.find(""[ui5-token]"")
			.should","cy.get(""[ui5-multi-combobox]"")
			.shadow()
			.find(""[ui5-tokenizer]"")
			.find(""[ui5-token]"")
			.should(""have.length"", 3)",collection_size,collection_size,ast_assertion_subject_semantic_role,subject_semantic_role:collection_size,should,have.length,locator,cy,"[""cy"",""get"",""shadow"",""find"",""find"",""should""]","cy.get(""[ui5-multi-combobox]"")
			.shadow()
			.find(""[ui5-tokenizer]"")
			.find(""[ui5-token]"")
			.should(""have.length"", 3)",collection_size,,cypress,cypress,correct,n/a,Verification intent label is acceptable.
,replayio/devtools,d31a9ebcfe3158aea6c5e86a98f94e41,Playwright,728,"expect(await sourceHeader.getAttribute(""data-status"")).toBe","expect(await sourceHeader.getAttribute(""data-status"")).toBe(""active"")",value_or_attribute_correctness,value_or_attribute_correctness,lexical_api_status_context,matcher:tobe;status_context,toBe,,unknown,,[],"await sourceHeader.getAttribute(""data-status"")",,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,appsmithorg/appsmith,db14b7f2a4268ecfa642f2035d4c0d7b,Cypress,405,"this.GetElement(this.locator._toastMsg, ""noVerify"")
        .should(""have.length.at.least"", length)
        .eq","this.GetElement(this.locator._toastMsg, ""noVerify"")
        .should(""have.length.at.least"", length)
        .eq(index)",collection_size,collection_size,lexical_oracle_category_fallback,count_or_length_oracle,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,UI5/webcomponents,bc48a4327230bbad29b384c70a21d40e,Cypress,564,"cy.get(""@onButtonClick"")
				.should(""have.been.calledOnce"")
				.its(""firstCall.args.0.detail"")
				.should","cy.get(""@onButtonClick"")
				.should(""have.been.calledOnce"")
				.its(""firstCall.args.0.detail"")
				.should(""have.property"", ""clickTarget"")",interactive_state,interactive_state,ast_assertion_semantic_matcher,matcher:haveproperty;value_attribute_current_matcher,should,have.property,locator,cy,"[""cy"",""get"",""should"",""its"",""should""]","cy.get(""@onButtonClick"")
				.should(""have.been.calledOnce"")
				.its(""firstCall.args.0.detail"")
				.should(""have.property"", ""clickTarget"")",scalar_property,,cypress,cypress,correct,n/a,Verification intent label is acceptable.
,ionic-team/ionic-framework,96baf077e01d399f62ba8b62f99e8654,Playwright,141,expect(toastWrapper).toHaveScreenshot,expect(toastWrapper).toHaveScreenshot(screenshot('toast-message-scale')),visual_regression,visual_regression,lexical_text_property_context,matcher:tohavescreenshot;message_text_context,toHaveScreenshot,,unknown,toastWrapper,"[""toastWrapper""]",toastWrapper,visual_snapshot_api,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,plasmicapp/plasmic,793323a614f6d86750b90a7766cc207c,Cypress,179,expect(funkyComp.cssRules).to.include,expect(funkyComp.cssRules).to.include(`top: 100px`),content_correctness,content_correctness,ast_assertion_subject_semantic_role,subject_semantic_role:text_content_payload;matcher:include,include,,unknown,expect,"[""expect"",""to"",""include""]",expect(funkyComp.cssRules).to.include(`top: 100px`),text_content_payload,,cypress,jest,incorrect,style_or_visual_state,CSS/layout/style value assertion.
,openclaw/clawhub,f112edd8bb9612e869940680079a5d47,Playwright,59,"expect(page.locator("".skill-card"").first()).toBeVisible","expect(page.locator("".skill-card"").first()).toBeVisible()",element_presence,element_presence,ast_assertion_matcher,matcher:tobevisible;presence_over_weak_subject_role,toBeVisible,,locator,page,"[""page"",""locator"",""first""]","page.locator("".skill-card"").first()",element_presence,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
